id,name,title,authors,day,starttime,endtime,timezone,room,authorsfull,summary,techlevel,audience,value,background,outline
T1,Tutorial 1,XR for healthcare: immersive and interactive technologies for serious games (HealthXR),"Manuela Chessa, Fabio Solari","Saturday,&nbsp;March&nbsp;16,&nbsp;2024",8:30,12:00,"Orlando&nbsp;UTC&#8209;4",,"<span class='bold'>Manuela Chessa</span> - <i>University of Genoa - Dept. of Informatics, Bioengineering, Robotics, and Systems Engineering</i>;<span class='bold'>Fabio Solari</span> - <i>University of Genoa - Dept. of Informatics, Bioengineering, Robotics, and Systems Engineering</i>",,,,,,
T2,Tutorial 2,Photogrammetry of Martian Terrains from Perseverance Rover Imagery,"Robert LiKamWa, Kathryn Powell, Lauren Gold","Saturday,&nbsp;March&nbsp;16,&nbsp;2024",16:00,17:30,"Orlando&nbsp;UTC&#8209;4",,"<span class='bold'>Robert LiKamWa</span> - <i>Arizona State University;<span class='bold'>Kathryn Powell</span> - <i>Arizona State University</i>;<span class='bold'>Lauren Gold</span> - </i>Arizona State University",,,,,,
T3,Tutorial 3,New Advances in the Theory and Evaluation of Presence,"Mel Slater, Mavi Sanchez-Vives, Ramon Oliva, Esen K&uuml;&ccedil;&uuml;kt&uuml;t&uuml;nc&uuml;","Sunday,&nbsp;March 17,&nbsp;2023",8:30,12:00,"Orlando&nbsp;UTC&#8209;4",,"<span class='bold'>Mel Slater</span> - <i>Event Lab, University of Barcelona, Barcelona, Spain & Institute of Neurosciences, University of Barcelona, Spain</i>;<span class='bold'>Mavi Sanchez-Vives</span> - <i>Event Lab, University of Barcelona, Barcelona, Spain</i>;<span class='bold'>Ramon Oliva</span> - <i>Event Lab, University of Barcelona, Barcelona, Spain & Institut d'Investigacions Biom&egrave;diques August Pi i Sunyer (IDIBAPS), Barcelona, Spain;</i><span class='bold'>Esen Küçüktütüncü</span> - <i>Event Lab, University of Barcelona, Barcelona, Spain & Institute of Neurosciences, University of Barcelona, Spain</i>",,,,,,
T4,Tutorial 4,Developing Immersive and Collaborative Visualizations with Web-Technologies,"David Saffo, Cheng Yao Wang,Feiyu Lu, Blair MacIntyre","Sunday,&nbsp;March&nbsp;17,&nbsp;2024",14:00,15:30,"Orlando&nbsp;UTC&#8209;4",,"<span class='bold'>David Saffo</span> - <i>JPMorgan Chase, Global Technology Applied Research</i>;<span class='bold'>Cheng Yao Wang</span> - <i>JPMorgan Chase, Global Technology Applied Research</i>;<span class='bold'>Feiyu Lu</span> - <i>JPMorgan Chase, Global Technology Applied Research</i>;<span class='bold'>Blair MacIntyre</span> - <i>JPMorgan Chase, Global Technology Applied Research</i>",,,,,,
T5,Tutorial 5,The Ins and Outs of Fixed-Screen Immersive Displays (CAVEs),"William Sherman","Sunday,&nbsp;March&nbsp;17,&nbsp;2024",16:00,17:30,"Orlando&nbsp;UTC&#8209;4",,"<span class='bold'>William Sherman</span> - <i>National Institute of Standards and Technology. US Department of Commerce</i>",,,,,,
